Speed,Measure,point 0,point 1,point 2,point 3,point 4,point 5
Free Y,-1sd,0,14,64,125,187,253
Free Y,mean,0,14,64,127,187,258
Free Y,+1sd,0,15,64,128,187,263
Very Slow Y,-1sd,0,15,61,135,192,245
Very Slow Y,mean,0,15,61,136,192,243
Very Slow Y,+1sd,0,16,88,141,192,241
Slow Y,-1sd,0,15,61,130,190,250
Slow Y,mean,0,15,61,130,190,250
Slow Y,+1sd,0,14,61,129,190,249
Medium Y,-1sd,0,14,69,124,187,254
Medium Y,mean,0,15,71,126,187,258
Medium Y,+1sd,0,18,74,129,187,262
Fast Y,-1sd,0,14,63,114,182,260
Fast Y,mean,0,14,69,119,182,261
Fast Y,+1sd,0,14,73,124,181,264
Free A,-1sd,0,14,71,126,190,255
Free A,mean,0,14,74,129,191,253
Free A,+1sd,0,16,78,133,193,250
Very Slow A,-1sd,0,13,59,135,202,253
Very Slow A,mean,0,14,62,137,200,252
Very Slow A,+1sd,0,15,62,139,199,251
Slow A,-1sd,0,14,65,128,192,256
Slow A,mean,0,15,71,130,192,253
Slow A,+1sd,0,17,71,133,192,250
Medium A,-1sd,0,14,65,117,190,257
Medium A,mean,0,15,74,123,189,256
Medium A,+1sd,0,16,78,128,188,254
Fast A,-1sd,0,13,86,177,252,0
Fast A,mean,0,13,82,178,249,0
Fast A,+1sd,0,14,78,178,245,0
Very Slow C,-1sd,0,13,64,151,209,258
Very Slow C,mean,0,15,70,152,210,256
Very Slow C,+1sd,0,18,70,157,210,260
Slow C,-1sd,0,14,63,142,197,251
Slow C,mean,0,15,69,144,198,250
Slow C,+1sd,0,17,69,146,198,247
Free C,-1sd,0,13,69,131,191,256
Free C,mean,0,14,69,135,192,255
Free C,+1sd,0,15,92,140,192,251
Medium C,-1sd,0,9,73,122,186,255
Medium C,mean,0,13,79,128,187,254
Medium C,+1sd,0,15,80,130,188,253
Fast C,-1sd,0,8,77,123,182,255
Fast C,mean,0,13,85,133,183,253
Fast C,+1sd,0,16,91,137,183,250
