,,point 0,point 1,point 2,point 3,point 4
0.6 m/s,-1sd,0,103,518,795,940
0.6 m/s,mean,0,103,517,795,940
0.6 m/s,+1sd,0,104,516,797,940
0.8 m/s,-1sd,0,102,498,777,940
0.8 m/s,mean,0,101,499,780,940
0.8 m/s,+1sd,0,100,661,780,937
1.0 m/s,-1sd,0,103,655,798,921
1.0 m/s,mean,0,104,495,798,899
1.0 m/s,+1sd,0,105,495,657,860
1.2 m/s,-1sd,0,100,483,714,944
1.2 m/s,mean,0,100,484,647,937
1.2 m/s,+1sd,0,485,648,810,930
1.4 m/s,-1sd,0,74,635,744,913
1.4 m/s,mean,0,77,481,635,815
1.4 m/s,+1sd,0,80,483,734,897
