subject_id [number];"gender [1 = ""female"" / 0 =""male""]";age [years];body mass [kg];body size [m]
S01;0;29;68,9;1,75
S02;1;21;64,9;1,81
S03;0;21;80,8;1,84
S04;0;23;82,7;1,82
S05;1;26;54,9;1,63
S06;0;21;77,3;1,79
S07;0;24;94,2;1,91
S08;0;23;69,5;1,88
S09;0;26;72;1,84
S10;1;20;52,3;1,58
S11;1;25;60,4;1,68
S12;1;23;55;1,64
S13;1;21;69,7;1,69
S14;1;26;59,3;1,69
S15;1;25;54,5;1,67
S16;1;23;57,4;1,75
S17;1;27;47,3;1,6
S18;1;22;61,4;1,62
S19;0;21;82,3;1,81
S20;1;19;65,6;1,69
S21;1;22;56,7;1,55
S22;1;26;56;1,61
S23;0;21;69,1;1,82
S24;1;22;62,1;1,62
S25;0;30;80,7;1,74
S26;0;21;91,2;1,99
S27;0;21;69,5;1,78
S28;0;24;67,5;1,83
S29;1;22;62,1;1,81
S30;0;28;81,35;1,81
S31;1;21;58,1;1,65
S32;0;23;80,9;1,78
S33;1;27;67,6;1,68
S34;0;23;82;1,78
S35;1;21;58,8;1,67
S36;1;24;59;1,69
S37;1;23;56,1;1,72
S38;1;23;52,1;1,61
S39;0;30;71;1,79
S40;1;21;53,15;1,58
S41;1;21;65,15;1,75
S42;0;25;79,95;1,83
S43;1;23;54,8;1,64
S44;0;21;76,5;1,82
S45;0;22;74,6;1,82
S46;1;20;56,45;1,65
S47;0;22;78,3;1,88
S48;0;22;90,8;1,92
S49;0;24;72,2;1,86
S50;0;22;81,8;1,87
S51;1;21;61,8;1,67
S52;1;30;55,75;1,61
S53;0;20;69,75;1,71
S54;1;22;66,15;1,7
S55;0;23;73,35;1,86
S56;0;22;71,75;1,79
S57;0;19;77,75;1,85
