Subject,point 0,point 1,point 2,point 3,point 4
S01,6,29,48,64,84
S02,5,29,47,64,85
S03,9,27,49,66,84
S04,8,25,48,65,89
S05,6,32,48,64,85
S06,8,25,48,66,87
S07,8,26,48,65,83
S08,0,8,27,48,79
S09,8,29,47,65,84
S10,8,31,48,65,82
S11,6,22,48,67,87
S12,6,28,47,64,86
S13,8,25,48,66,85
S14,11,29,48,65,89
S15,9,28,48,66,87
S16,6,28,48,65,85
S17,7,27,49,67,84
S18,7,24,48,65,86
S19,0,9,27,50,81
S20,8,27,46,63,84
S21,8,24,48,64,88
S22,5,24,48,65,85
S23,6,27,47,64,84
S24,8,32,49,65,86
S25,5,22,48,65,86
S26,7,29,47,64,83
S27,7,29,48,65,83
S28,10,30,47,66,83
S29,7,23,48,66,86
S30,7,24,49,65,87
S31,7,30,47,63,85
S32,8,33,49,65,84
S33,10,30,48,65,85
S34,6,25,47,65,83
S35,8,31,47,63,81
S36,7,29,49,65,92
S37,9,25,46,64,84
S38,6,24,48,65,81
S39,6,23,48,66,88
S40,5,25,46,63,90
S41,7,26,49,66,94
S42,6,28,48,65,81
S43,8,24,47,64,86
S44,9,25,48,65,87
S45,7,23,49,65,86
S46,6,27,48,65,83
S47,10,29,49,65,84
S48,7,32,48,66,87
S49,7,30,49,66,86
S50,5,28,46,64,86
S51,6,28,48,65,85
S52,6,29,49,66,84
S53,7,24,48,66,90
S54,9,27,50,67,83
S55,7,23,48,66,83
S56,7,23,49,67,83
S57,7,27,49,67,84
